"","chromosome_name","start_position","end_position","hgnc_symbol","Reporter.identifier","start","end","distance"
"37","9",26903372,26947242,"PLAA","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10307",26905748,26905807,43811
"38","17",3923870,3964464,"ATP2A3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1031",3924254,3924313,40535
"39","3",28574791,30010391,"RBMS3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10324",30010236,30010295,1435541
"40","5",148025683,148137382,"SPINK5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10327",148137195,148137254,111640
"41","9",111360685,111484745,"ECPAS","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10331",111361991,111362050,124001
"42","12",68686951,68745809,"NUP107","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10338",68742596,68742655,58799
"43","19",57803841,57814913,"ZNF552","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10350",57807144,57807203,11013
"44","2",177623244,178108339,"PDE11A","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10356",177623337,177623396,485036
"45","4",56393362,56435615,"PPAT","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10361",56393817,56393876,42194
"46","17",28346633,28357527,"POLDIP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10369",28346882,28346941,10835
"47","6",16299112,16761491,"ATXN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10373",16299618,16299676,462321
"48","19",55072020,55087923,"EPS8L1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10376",55087670,55087729,15844
"49","5",73565443,73583380,"UTP15","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10378",73579932,73579991,17878
"50","9",92297358,92325636,"NOL8","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10387",92298256,92298295,28239
"51","X",49269793,49301461,"PPP1R3F","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1041",49286436,49286495,31609
"52","5",132630589,132664272,"TH2LCRR","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10411",132642171,132642218,33636
"53","10",103367966,103389065,"TAF5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10421",103387613,103387672,21040
"54","X",119615724,119693370,"SEPTIN6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10424",119629437,119629496,77587
"55","4",46723830,46724408,"RAC1P2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10428",46724285,46724344,519
"56","2",17663812,17800242,"SMC6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10436",17799151,17799210,136371
"57","10",5035354,5107686,"AKR1C3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10446",5105597,5105656,72273
"58","3",150541998,150603228,"SERP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10451",150542560,150542619,61171
"59","15",48331011,48343373,"DUT","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10462",48342017,48342061,12318
"60","1",43525187,43623666,"PTPRF","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1050",43623512,43623571,98420
"61","HG76_PATCH",4234900,4349141,"ERI1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10522",4322010,4322069,114182
"62","10",79661394,79826594,"NUTM2B-AS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10525",79766240,79766299,165141
"63","1",25272393,25330445,"RHD","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10526",25288861,25288920,57993
"64","11",18588781,18610255,"MISFA","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10528",18606648,18606707,21415
"65","7",6009255,6023834,"AIMP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1054",6023407,6023466,14520
"66","3",114127580,114199407,"DRD3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10541",114159833,114159869,71791
"67","11",115169218,115504957,"CADM1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10560",115176433,115176492,335680
"68","7",79768028,80226181,"GNAI1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10623",80217719,80217778,458094
"69","17",4967992,4987675,"CAMTA2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10630",4969257,4969316,19624
"70","13",111114559,111305737,"ARHGEF7","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10641",111295074,111295133,191119
"71","2",130337933,130342699,"CCDC115","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10648",130338452,130338511,4707
"72","14",103556545,103562657,"BAG5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10654",103560269,103560328,6053
"73","8",123248451,123275541,"ZHX1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10659",123254048,123254107,27031
"74","8",86468257,86514357,"RMDN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10673",86474869,86474928,46041
"75","19",49906825,49929764,"NUP62","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.10684",49918517,49918576,22880
"76","Y",19703865,19744939,"KDM5D","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1084",19705884,19705943,41015
"77","20",58309715,58367507,"RAB22A","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1085",58360467,58360526,57733
"78","1",43358981,43363203,"CDC20","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1087",43360866,43360925,4163
"79","6",71187161,71420745,"LINC00472","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1089",71414695,71414754,233525
"80","2",165689287,165715905,"CSRNP3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1094",165689346,165689405,26559
"81","8",102826111,102893864,"AZIN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1115",102828147,102828206,67694
"82","5",75336329,75364001,"HMGCR","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1116",75361826,75361885,27613
"83","22",38057180,38073940,"PICK1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1118",38073772,38073824,16708
"84","19",55171196,55180289,"SYT5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1124",55173274,55173333,9034
"85","1",169921326,170085208,"KIFAP3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1129",169921573,169921632,163823
"86","20",1266280,1309328,"SNPH","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1134",1308968,1309027,42989
"87","3",8980591,9363053,"SRGAP3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1137",8981242,8981301,382403
"88","2",156435290,156613735,"GPD2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1139",156590908,156590967,178386
"89","14",39175183,39183220,"PNN","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1147",39181843,39181902,7978
"90","17",17476994,17493221,"MED9","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1150",17492921,17492980,16168
"91","6",68635282,69390571,"ADGRB3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1186",69388974,69389033,755230
"92","3",133784023,133825772,"SRPRB","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1188",133824595,133824654,41690
"93","HG2046_PATCH",40560,64538,NA,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1195",43989,44048,23919
"94","3",98497912,98523066,"CLDND1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1221",98515946,98516005,25095
"95","8",143833583,143840973,"NRBP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1235",143834605,143834664,7331
"96","17",75441159,75500452,"TMEM94","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1239",75499373,75499432,59234
"97","19",797075,812327,"PTBP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.124",811523,811582,15193
"98","1",27322145,27336400,"TMEM222","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1246",27336097,27336156,14196
"99","11",114439435,114450279,"REXO2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1259",114449846,114449905,10785
"100","3",65353525,66038918,"MAGI1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1260",65361246,65361305,685334
"101","1",206203346,206464436,"SRGAP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1261",206464216,206464275,261031
"102","3",33798571,33869707,"PDCD6IP","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1265",33866832,33866891,71077
"103","13",52455429,52476628,"CKAP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1290",52476259,52476318,21140
"104","19",46774883,46788594,"SLC1A5","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1303",46775642,46775701,13652
"105","X",85861180,86047561,"CHM","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1305",85864532,85864591,186322
"106","2",38751534,38785002,"GEMIN6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.131",38781838,38781897,33409
"107","7",10973336,11169623,"PHF14","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1326",11051667,11051726,196228
"108","1",147178113,147179622,"PDIA3P1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1331",147179413,147179471,1451
"109","6",44219553,44234142,"SLC29A1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1350",44234038,44234097,14530
"110","2",156435290,156613735,"GPD2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1351",156590976,156591035,178386
"111","1",29147743,29181900,"SRSF4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1353",29168645,29168704,34098
"112","17",69078702,69141895,"ABCA6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1362",69078708,69078767,63134
"113","7",108147623,108456717,"NRCAM","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.137",108147731,108147790,309035
"114","1",32679906,32703596,"SYNC","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1374",32685833,32685892,23631
"115","4",22727375,22727950,"CDC42P6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1375",22727701,22727760,516
"116","10",95659823,95694143,"TCTN3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.139",95663936,95663995,34261
"117","16",47461123,47701523,"PHKB","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1399",47699489,47699548,240341
"118","9",135503273,135506447,"MRPS2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1409",135504495,135504554,3115
"119","5",14143342,14532128,"TRIO","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1418",14509308,14509367,388727
"120","12",120127202,120194715,"GCN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1421",120127281,120127340,67454
"121","12",53268299,53293638,"ESPL1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1426",53293272,53293325,25286
"122","9",136375567,136400176,"SNAPC4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.143",136375581,136375640,24550
"123","HSCHR1_4_CTG31",104160,104819,"PPIAL4F","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1430",104705,104764,600
"124","1",31296982,31364953,"ZCCHC17","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1436",31364829,31364888,67912
"125","10",73812501,73874591,"CAMK2G","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1440",73815217,73815247,62060
"126","7",130506238,130668748,"COPG2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1444",130506547,130506606,162451
"127","13",45120510,45284893,"GTF2F2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1446",45283765,45283824,164324
"128","13",44939249,44989471,"NUFIP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1450",44940872,44940931,50163
"129","X",17737449,17754988,"SCML1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1455",17754158,17754217,17480
"130","14",22918947,22926900,"PRMT5-AS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1461",22920959,22921018,7894
"131","1",234604269,234610178,"IRF2BP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1463",234604686,234604743,5852
"132","19",10654304,10692400,"ILF3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1473",10689556,10689615,38037
"133","3",111674676,111846447,"PLCXD2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1474",111726450,111726509,171712
"134","9",4792944,4885917,"RCL1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1481",4860885,4860943,92915
"135","9",126914774,127223166,"RALGPS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.149",127222742,127222801,308333
"136","3",63228315,63616924,"SYNPR","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1520",63616809,63616868,388550
"137","14",77760834,77769742,"C14orf178","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1531",77768492,77768551,8849
"138","17",1464186,1492686,"MYO1C","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1540",1467993,1468052,28441
"139","18",9136228,9285985,"ANKRD12","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1542",9283544,9283603,149698
"140","7",79768028,80226181,"GNAI1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1545",80218955,80219014,458094
"141","17",39173290,39177503,"CACNB1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1560",39173821,39173880,4154
"142","20",58839718,58911192,"GNAS","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1562",58899953,58900012,71415
"143","10",10798397,11336675,"CELF2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1565",11325906,11325965,538219
"144","2",113657908,113658675,"SNRPA1P1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1573",113658237,113658296,708
"145","8",60937705,60939871,"NASPP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1582",60938198,60938257,2107
"146","12",131894622,131923150,"ULK1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1610",131922797,131922856,28469
"147","3",184299198,184309050,"PSMD2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1617",184305782,184305841,9793
"148","18",50879080,50954257,"ME2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1620",50947476,50947535,75118
"149","18",5392381,5630700,"EPB41L3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1625",5393393,5393452,238260
"150","HG2046_PATCH",79823,104720,"ZBTB4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1632",80084,80143,24838
"151","9",126326829,126507041,"MVB12B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1634",126506167,126506226,180153
"152","1",164555584,164899296,"PBX1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1637",164812033,164812092,343653
"153","7",93954044,93956519,NA,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1650",93954368,93954427,2416
"154","12",990509,1495933,"ERC1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1659",1495605,1495664,505365
"155","1",151060397,151069544,"MLLT11","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1664",151067319,151067378,9088
"156","16",89919165,89936092,"TUBB3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1669",89935527,89935586,16868
"157","2",37342827,37373322,"QPCT","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1680",37372917,37372976,30436
"158","14",58244843,58272012,"PSMA3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1684",58270934,58270964,27139
"159","12",85874295,85882992,"NTS","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1686",85882398,85882457,8638
"160","1",31906421,31944856,"PTP4A2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1688",31908738,31908797,38376
"161","8",97775057,97853013,"LAPTM4B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.171",97819145,97819204,77897
"162","14",49643555,49688422,"POLE2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1712",49655693,49655752,44808
"163","6",27892699,27893185,"H2AC17","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1720",27892729,27892788,427
"164","2",37617328,37661861,"CDC42EP3-AS1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.173",37644894,37644953,44474
"165","3",194402672,194498364,"ATP13A3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1752",194402755,194402814,95633
"166","5",146447311,146511961,"TCERG1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1765",146510643,146510702,64591
"167","2",219627394,219641980,"SLC4A3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1773",219641663,219641722,14527
"168","HSCHR6_MHC_SSTO_CTG1",1953870,1973820,"DHX16","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1776",1955573,1955632,19891
"169","1",174159410,174995308,"RABGAP1L","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1792",174994927,174994986,835839
"170","13",59665583,60163928,"DIAPH3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1796",59666236,59666295,498286
"171","14",89954939,90044764,"TDP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1798",90043178,90043237,89766
"172","6",166995735,166999511,NA,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1832",166997560,166997619,3717
"173","1",32679906,32703596,"SYNC","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1841",32680207,32680266,23631
"174","15",41837775,41848147,"PLA2G4B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1859",41848080,41848139,10313
"175","17",78971238,78979947,"LGALS3BP","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.186",78971966,78972025,8650
"176","18",158383,214629,"USP14","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1860",211209,211268,56187
"177","10",80407829,80437115,"PRXL2A","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1880",80425924,80425983,29227
"178","2",223596940,223602361,"SCG2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1881",223597751,223597810,5362
"179","Y",2841602,2932000,"RPS4Y1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1887",2865086,2865124,90360
"180","4",118850688,119061247,"SYNPO2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1889",119033406,119033465,210500
"181","HSCHR17_1_CTG1",157541,359308,"RPH3AL","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1891",157807,157866,201708
"182","12",121797511,121801972,"LINC01089","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1892",121799863,121799922,4402
"183","1",153661788,153671028,"ILF2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1905",153662192,153662251,9181
"184","16",48244300,48363122,"LONP2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1906",48351699,48351758,118763
"185","8",94719703,94793836,"DPY19L4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1937",94791465,94791524,74074
"186","12",106237881,106304279,"CKAP4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.195",106238694,106238753,66339
"187","18",26170726,26171284,"DHFRP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1954",26170685,26170744,581
"188","19",15235519,15332545,"BRD4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1962",15236884,15236943,96967
"189","9",128552558,128633662,"SPTAN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1970",128633443,128633502,81045
"190","14",20311368,20333312,"CCNB1IP1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1971",20313461,20313515,21890
"191","3",156539553,156555149,"SSR3","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1973",156540208,156540267,15537
"192","6",42564029,42693505,"UBR2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1976",42609019,42609078,129417
"193","HSCHR14_7_CTG1",299513,301651,"LYSET","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1986",301334,301393,2079
"194","1",148415258,148428847,"PDE4DIPP6","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.1987",148420457,148420516,13530
"195","2",177392746,177567024,"AGPS","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2058",177543378,177543437,174219
"196","4",105552620,105708093,"ARHGEF38","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2089",105683260,105683319,155414
"197","5",178204533,178211163,"HNRNPAB","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2102",178207121,178207180,6571
"198","1",32364633,32394731,"BSDC1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2135",32365310,32365369,30039
"199","3",11556069,11771350,"VGLL4","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2141",11556485,11556544,215222
"200","3",55508311,56469095,"ERC2","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2179",55992167,55992226,960725
"201","1",25884181,25906991,"STMN1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2192",25884944,25885003,22751
"202","5",181236897,181248096,"RACK1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2219",181241551,181241610,11140
"203","6",127438406,127459389,"KIAA0408","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2225",127439331,127439390,20924
"204","1",10210570,10381603,"KIF1B","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2245",10377590,10377649,170974
"205","2",174072447,174248599,"OLA1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2256",174072748,174072807,176093
"206","X",153929225,153935080,"NAA10","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2276",153932316,153932354,5817
"207","15",101175727,101252048,"CHSY1","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2277",101175858,101175917,76262
"208","2",96335766,96377091,"NCAPH","ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2281",96376178,96376237,41266
"209","21",7744951,7758630,NA,"ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-255.2285",7755037,7755096,13620
